location,indicator,subject,measure,frequency,time,health_spending_per_cap,Flag Codes,life_expect_birth,country
DEU,HEALTHEXP,TOT,USD_CAP,A,2003,3033.0953,,78.6,Germany
GRC,HEALTHEXP,TOT,USD_CAP,A,2003,1951.7097,,79.3,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,2003,3198.3977,,81,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,2003,2520.871,,78.2,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,2003,2235.811,,80.1,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,2003,2198.8429,,81.8,Japan
LUX,HEALTHEXP,TOT,USD_CAP,A,2003,4478.8393,,77.8,Luxembourg
NLD,HEALTHEXP,TOT,USD_CAP,A,2003,2853.4358,,78.7,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,2003,3595.0564,,79.6,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,2003,1764.6203,,77.5,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,2003,1907.9302,B,79.7,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,2003,2713.9253,,80.3,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,2003,3785.126,,80.6,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,2003,459.0445,,72.3,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,2003,2211.542,,78.4,UK
USA,HEALTHEXP,TOT,USD_CAP,A,2003,5737.4608,,77.1,US
AUS,HEALTHEXP,TOT,USD_CAP,A,2004,2745.6316,D,80.6,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,2004,3260.8522,,79.3,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,2004,2913.2791,,79,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,2004,3076.0005,,79.9,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,2004,2986.9486,,77.8,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,2004,2432.1462,,79,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,2004,2946.9832,,80.3,France
DEU,HEALTHEXP,TOT,USD_CAP,A,2004,3099.7712,,79.2,Germany
GRC,HEALTHEXP,TOT,USD_CAP,A,2004,2016.8191,,79.4,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,2004,3339.1786,D,81.1,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,2004,2755.4185,,78.6,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,2004,2355.7084,,80.9,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,2004,2327.8175,,82.1,Japan
LUX,HEALTHEXP,TOT,USD_CAP,A,2004,5059.9115,,79.2,Luxembourg
NLD,HEALTHEXP,TOT,USD_CAP,A,2004,3016.6645,,79.2,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,2004,3811.3917,,80.1,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,2004,1886.7594,,78.4,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,2004,2014.3386,,80.4,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,2004,2830.3305,,80.6,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,2004,3935.8776,,81.2,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,2004,521.3,,72.7,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,2004,2412.166,,79,UK
USA,HEALTHEXP,TOT,USD_CAP,A,2004,6096.5355,,77.4,US
AUS,HEALTHEXP,TOT,USD_CAP,A,2005,2842.1321,D,80.9,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,2005,3324.0795,,79.4,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,2005,2985.8089,,79.1,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,2005,3282.4541,,80.1,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,2005,3096.9831,,78.3,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,2005,2571.3738,,79.1,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,2005,3100.9237,,80.3,France
DEU,HEALTHEXP,TOT,USD_CAP,A,2005,3297.0591,,79.4,Germany
GRC,HEALTHEXP,TOT,USD_CAP,A,2005,2284.7933,,79.7,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,2005,3294.4734,D,81.6,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,2005,3097.1122,,79,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,2005,2479.3278,,80.9,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,2005,2463.7249,,82,Japan
LUX,HEALTHEXP,TOT,USD_CAP,A,2005,5090.3667,,79.5,Luxembourg
NLD,HEALTHEXP,TOT,USD_CAP,A,2005,3510.9048,B,79.5,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,2005,4029.4379,,80.3,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,2005,2082.2039,,78.2,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,2005,2139.3333,,80.3,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,2005,2841.8221,,80.7,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,2005,4015.3331,,81.4,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,2005,585.6594,,73.1,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,2005,2568.468,,79.2,UK
USA,HEALTHEXP,TOT,USD_CAP,A,2005,6445.7053,,77.4,US
AUS,HEALTHEXP,TOT,USD_CAP,A,2006,3023.0978,D,81.1,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,2006,3567.6495,,80,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,2006,3136.9155,,79.5,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,2006,3505.0061,,80.4,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,2006,3406.8102,,78.4,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,2006,2768.6527,,79.5,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,2006,3253.9671,B,80.9,France
DEU,HEALTHEXP,TOT,USD_CAP,A,2006,3502.6909,,79.8,Germany
GRC,HEALTHEXP,TOT,USD_CAP,A,2006,2534.7392,,79.9,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,2006,3276.3176,D,81.2,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,2006,3304.4115,,79.3,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,2006,2703.1626,,81.4,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,2006,2580.1459,,82.4,Japan
LUX,HEALTHEXP,TOT,USD_CAP,A,2006,5512.8935,,79.4,Luxembourg
NLD,HEALTHEXP,TOT,USD_CAP,A,2006,3797.2679,,79.9,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,2006,4329.4071,,80.6,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,2006,2181.0053,,79,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,2006,2393.3068,,81.1,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,2006,3066.2039,,81,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,2006,4251.3673,,81.7,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,2006,697.3519,,73.4,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,2006,2784.489,,79.5,UK
USA,HEALTHEXP,TOT,USD_CAP,A,2006,6809.4762,,77.7,US
AUS,HEALTHEXP,TOT,USD_CAP,A,2007,3196.226,D,81.4,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,2007,3718.739,,80.3,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,2007,3286.2254,,79.9,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,2007,3675.4766,,80.5,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,2007,3605.2153,,78.4,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,2007,2941.9571,,79.6,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,2007,3407.1091,,81.2,France
DEU,HEALTHEXP,TOT,USD_CAP,A,2007,3660.9349,,80.1,Germany
GRC,HEALTHEXP,TOT,USD_CAP,A,2007,2655.2171,,79.7,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,2007,3375.6701,D,81.5,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,2007,3649.2954,,79.7,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,2007,2751.8517,,81.5,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,2007,2723.8322,,82.6,Japan
LUX,HEALTHEXP,TOT,USD_CAP,A,2007,5500.6005,,79.5,Luxembourg
NLD,HEALTHEXP,TOT,USD_CAP,A,2007,4066.1338,,80.3,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,2007,4578.0888,,80.6,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,2007,2286.5402,,79.2,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,2007,2570.706,,81.2,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,2007,3274.849,,81.1,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,2007,4567.3285,,82,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,2007,766.8245,,73.7,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,2007,2862.43,,79.7,UK
USA,HEALTHEXP,TOT,USD_CAP,A,2007,7163.1718,,77.9,US
AUS,HEALTHEXP,TOT,USD_CAP,A,2008,3310.1708,D,81.5,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,2008,3964.8495,,80.5,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,2008,3542.3542,,79.8,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,2008,3822.6386,,80.7,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,2008,3892.7375,,78.8,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,2008,3218.1337,,79.9,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,2008,3562.5456,,81.3,France
DEU,HEALTHEXP,TOT,USD_CAP,A,2008,3901.418,,80.2,Germany
GRC,HEALTHEXP,TOT,USD_CAP,A,2008,3040.9909,,80.3,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,2008,3628.0346,D,81.7,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,2008,4000.7079,,80.2,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,2008,3011.2728,,81.6,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,2008,2852.8629,,82.7,Japan
LUX,HEALTHEXP,TOT,USD_CAP,A,2008,5938.8079,,80.6,Luxembourg
NLD,HEALTHEXP,TOT,USD_CAP,A,2008,4398.2743,,80.5,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,2008,4973.2861,,80.8,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,2008,2440.611,,79.5,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,2008,2795.8694,,81.5,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,2008,3481.5901,,81.3,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,2008,4933.1,,82.2,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,2008,827.3149,,73.9,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,2008,2971.154,,79.8,UK
USA,HEALTHEXP,TOT,USD_CAP,A,2008,7414.0435,,78.1,US
AUS,HEALTHEXP,TOT,USD_CAP,A,2009,3564.4049,D,81.6,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,2009,4119.7452,,80.4,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,2009,3804.7643,,80.1,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,2009,4108.7578,,80.9,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,2009,4247.8819,,79,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,2009,3336.3316,,80.1,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,2009,3774.2044,,81.5,France
DEU,HEALTHEXP,TOT,USD_CAP,A,2009,4130.7969,,80.3,Germany
GRC,HEALTHEXP,TOT,USD_CAP,A,2009,2990.8342,B,80.4,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,2009,3624.4513,D,81.8,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,2009,4407.799,,80.3,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,2009,3064.7996,,81.7,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,2009,2998.5676,,83,Japan
LUX,HEALTHEXP,TOT,USD_CAP,A,2009,6355.5453,,80.7,Luxembourg
NLD,HEALTHEXP,TOT,USD_CAP,A,2009,4550.4651,,80.8,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,2009,5094.2532,,81,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,2009,2589.1595,,79.7,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,2009,2944.6196,,81.9,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,2009,3547.1337,,81.5,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,2009,5183.952,,82.3,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,2009,841.2871,,74.1,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,2009,3150.239,,80.4,UK
USA,HEALTHEXP,TOT,USD_CAP,A,2009,7684.7611,,78.5,US
AUS,HEALTHEXP,TOT,USD_CAP,A,2010,3607.3407,D,81.8,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,2010,4236.3164,,80.7,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,2010,3901.9126,,80.3,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,2010,4242.3395,,81.2,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,2010,4370.3331,,79.3,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,2010,3403.1108,,80.2,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,2010,3859.5252,,81.8,France
DEU,HEALTHEXP,TOT,USD_CAP,A,2010,4358.6128,,80.5,Germany
GRC,HEALTHEXP,TOT,USD_CAP,A,2010,2855.3382,,80.7,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,2010,3405.9865,D,82,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,2010,4585.4044,,80.8,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,2010,3108.2039,,82.1,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,2010,3204.9489,,82.9,Japan
LUX,HEALTHEXP,TOT,USD_CAP,A,2010,6401.8972,,80.7,Luxembourg
NLD,HEALTHEXP,TOT,USD_CAP,A,2010,4671.0098,,81,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,2010,5240.4165,,81.2,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,2010,2645.6631,,80,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,2010,2917.9495,,82.4,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,2010,3543.5822,,81.6,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,2010,5371.4504,B,82.6,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,2010,852.6704,,74.3,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,2010,3036.12,,80.6,UK
USA,HEALTHEXP,TOT,USD_CAP,A,2010,7929.372,,78.6,US
AUS,HEALTHEXP,TOT,USD_CAP,A,2011,3794.0874,D,82,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,2011,4362.3426,,81.1,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,2011,4132.3109,,80.7,Belgium 
CAN,HEALTHEXP,TOT,USD_CAP,A,2011,4263.4169,,81.5,Canada
DNK,HEALTHEXP,TOT,USD_CAP,A,2011,4430.6885,,79.9,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,2011,3605.807,,80.6,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,2011,4010.3139,,82.2,France
DEU,HEALTHEXP,TOT,USD_CAP,A,2011,4510.1751,,80.8,Germany
GRC,HEALTHEXP,TOT,USD_CAP,A,2011,2520.6318,,80.8,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,2011,3420.6305,D,82.4,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,2011,4514.9774,,80.8,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,2011,3169.0494,,82.3,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,2011,3799.1178,B,82.7,Japan
LUX,HEALTHEXP,TOT,USD_CAP,A,2011,6040.591,B,81.1,Luxembourg
NLD,HEALTHEXP,TOT,USD_CAP,A,2011,4862.459,,81.3,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,2011,5515.1289,,81.4,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,2011,2566.9707,,80.6,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,2011,2956.7857,,82.6,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,2011,4667.6964,B,81.9,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,2011,5787.6672,,82.8,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,2011,887.9525,,74.6,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,2011,3087.306,,81,UK
USA,HEALTHEXP,TOT,USD_CAP,A,2011,8171.0784,,78.7,US
AUS,HEALTHEXP,TOT,USD_CAP,A,2012,3807.6819,D,82.1,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,2012,4646.4365,,81,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,2012,4286.4123,,80.5,Belgium 
DNK,HEALTHEXP,TOT,USD_CAP,A,2012,4544.8568,,80.1,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,2012,3758.9973,,80.7,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,2012,4062.9108,,82.1,France
DEU,HEALTHEXP,TOT,USD_CAP,A,2012,4694.681,,81,Germany
GRC,HEALTHEXP,TOT,USD_CAP,A,2012,2324.2907,,80.7,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,2012,3506.4164,D,83,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,2012,4658.284,,81,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,2012,3174.261,,82.3,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,2012,4016.7772,,83.2,Japan
LUX,HEALTHEXP,TOT,USD_CAP,A,2012,6423.1651,,81.5,Luxembourg
NLD,HEALTHEXP,TOT,USD_CAP,A,2012,5044.2654,,81.2,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,2012,5738.4827,,81.5,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,2012,2535.7284,,80.5,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,2012,2929.3567,,82.5,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,2012,4860.2524,,81.8,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,2012,6288.6475,,82.8,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,2012,911.293,,74.6,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,2012,3191.936,,81,UK
USA,HEALTHEXP,TOT,USD_CAP,A,2012,8422.99,,78.8,US
AUS,HEALTHEXP,TOT,USD_CAP,A,2013,4176.853,D,82.2,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,2013,4806.3934,,81.2,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,2013,4485.4804,,80.7,Belgium 
DNK,HEALTHEXP,TOT,USD_CAP,A,2013,4708.1321,,80.4,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,2013,3890.7877,,81.1,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,2013,4292.1762,,82.3,France
DEU,HEALTHEXP,TOT,USD_CAP,A,2013,4921.8139,,80.9,Germany
GRC,HEALTHEXP,TOT,USD_CAP,A,2013,2339.7827,,81.4,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,2013,3739.4503,D,82.1,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,2013,4980.3999,B,81.1,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,2013,3141.8651,,82.8,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,2013,4151.7546,,83.4,Japan
LUX,HEALTHEXP,TOT,USD_CAP,A,2013,6629.0284,P,81.9,Luxembourg
NLD,HEALTHEXP,TOT,USD_CAP,A,2013,5250.3058,,81.4,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,2013,5966.6373,,81.8,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,2013,2538.7046,,80.8,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,2013,2952.175,,83.2,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,2013,5003.1323,,82,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,2013,6635.2769,,82.9,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,2013,969.3608,,78,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,2013,3881.09,B,81.1,UK
USA,HEALTHEXP,TOT,USD_CAP,A,2013,8617.4287,,78.8,US
AUS,HEALTHEXP,TOT,USD_CAP,A,2014,4206.8516,,82.4,Australia 
AUT,HEALTHEXP,TOT,USD_CAP,A,2014,4895.9992,,81.6,Austria
BEL,HEALTHEXP,TOT,USD_CAP,A,2014,4522.045,,81.4,Belgium 
DNK,HEALTHEXP,TOT,USD_CAP,A,2014,4857.0285,B,80.8,Denmark
FIN,HEALTHEXP,TOT,USD_CAP,A,2014,3870.4,,81.3,Finland
FRA,HEALTHEXP,TOT,USD_CAP,A,2014,4366.9864,,82.8,France
DEU,HEALTHEXP,TOT,USD_CAP,A,2014,5119.2146,,81.2,Germany
GRC,HEALTHEXP,TOT,USD_CAP,A,2014,2220.1065,,81.5,Greece
ISL,HEALTHEXP,TOT,USD_CAP,A,2014,3896.9251,D,82.9,Iceland
IRL,HEALTHEXP,TOT,USD_CAP,A,2014,5001.322,,81.4,Ireland
ITA,HEALTHEXP,TOT,USD_CAP,A,2014,3206.8286,B,83.2,Italy
JPN,HEALTHEXP,TOT,USD_CAP,A,2014,4152.3727,P,83.7,Japan
LUX,HEALTHEXP,TOT,USD_CAP,A,2014,6682.237,P,82.3,Luxembourg
NLD,HEALTHEXP,TOT,USD_CAP,A,2014,5276.6003,,81.8,Netherlands
NOR,HEALTHEXP,TOT,USD_CAP,A,2014,6080.998,P,82.2,Norway
PRT,HEALTHEXP,TOT,USD_CAP,A,2014,2583.8438,,81.2,Portugal
ESP,HEALTHEXP,TOT,USD_CAP,A,2014,3053.0745,,83.3,Spain
SWE,HEALTHEXP,TOT,USD_CAP,A,2014,5065.1613,P,82.3,Sweden
CHE,HEALTHEXP,TOT,USD_CAP,A,2014,6786.5657,,83.3,Switzerland
TUR,HEALTHEXP,TOT,USD_CAP,A,2014,990.1908,,78,Turkey
GBR,HEALTHEXP,TOT,USD_CAP,A,2014,3971.394,,81.4,UK
USA,HEALTHEXP,TOT,USD_CAP,A,2014,9024.2064,,78.8,US
